2025-05-19 13:44:35,488 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC06CA12-01/2025041814/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC06CA12-01/dispersion_20250418.nc | Header Content-Type: text/html
2025-05-19 13:44:35,750 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC06CA12-01/2025041914/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC06CA12-01/dispersion_20250419.nc | Header Content-Type: text/html
2025-05-19 13:44:36,010 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC06CA12-01/2025042014/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC06CA12-01/dispersion_20250420.nc | Header Content-Type: text/html
2025-05-19 13:44:36,276 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC06CA12-01/2025042114/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC06CA12-01/dispersion_20250421.nc | Header Content-Type: text/html
2025-05-19 13:44:36,539 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC06CA12-01/2025042214/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC06CA12-01/dispersion_20250422.nc | Header Content-Type: text/html
2025-05-19 13:44:36,801 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC06CA12-01/2025042314/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC06CA12-01/dispersion_20250423.nc | Header Content-Type: text/html
2025-05-19 13:44:37,061 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC06CA12-01/2025042414/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC06CA12-01/dispersion_20250424.nc | Header Content-Type: text/html
2025-05-19 13:44:37,329 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC06CA12-01/2025042514/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC06CA12-01/dispersion_20250425.nc | Header Content-Type: text/html
2025-05-19 13:44:37,596 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC06CA12-01/2025042614/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC06CA12-01/dispersion_20250426.nc | Header Content-Type: text/html
2025-05-19 13:44:37,863 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC06CA12-01/2025042714/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC06CA12-01/dispersion_20250427.nc | Header Content-Type: text/html
2025-05-19 13:44:38,126 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC06CA12-01/2025042814/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC06CA12-01/dispersion_20250428.nc | Header Content-Type: text/html
2025-05-19 13:44:38,384 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC06CA12-01/2025042914/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC06CA12-01/dispersion_20250429.nc | Header Content-Type: text/html
